source,fncname,minarg,maxarg,fnctype,fncargs,fncprod
U,,2.0,2.0,N,10.0,B
U,AARRAY_ADD,3.0,32767.0,N,218.0,B
U,AARRAY_CLEAR,1.0,1.0,N,6.0,B
U,AARRAY_DELETE,0.0,32767.0,B,2.0,B
U,AARRAY_DELETEKEY,2.0,2.0,N,62.0,B
U,AARRAY_GETC,2.0,2.0,C,58.0,B
U,AARRAY_GETN,2.0,2.0,N,58.0,B
U,AARRAY_HASKEY,2.0,2.0,N,62.0,B
U,AARRAY_REPORT,0.0,32767.0,B,2.0,B
U,AARRAY_SET,3.0,3.0,N,510.0,B
U,ABORT,2.0,2.0,B,45.0,B
B,ABS,1.0,1.0,N,1.0,X
U,ACCEPTATTACHMENT,5.0,5.0,B,21677.0,B
U,ADDR,1.0,1.0,N,3.0,B
U,ADDRLONG,1.0,1.0,C,3.0,B
U,AIRY,1.0,1.0,N,1.0,X
U,ALLCOMB,3.0,0.0,B,1073741769.0,B
U,ALLCOMB,3.0,0.0,N,1073741769.0,B
U,ALLCOMBI,3.0,0.0,B,766958409.0,B
U,ALLPER,2.0,0.0,B,1073741817.0,X
U,ALLPER,2.0,0.0,N,1073741817.0,X
U,ALLPERM,2.0,0.0,B,1073741817.0,X
U,ALLPERM,2.0,0.0,N,1073741817.0,X
U,ANONCT,4.0,4.0,N,585.0,B
U,ANORM420,1.0,2.0,C,18.0,B
B,ANYALNUM,1.0,2.0,N,10.0,X
B,ANYALPHA,1.0,2.0,N,10.0,X
B,ANYCNTRL,1.0,2.0,N,10.0,X
B,ANYDIGIT,1.0,2.0,N,10.0,X
B,ANYFIRST,1.0,2.0,N,10.0,X
B,ANYGRAPH,1.0,2.0,N,10.0,X
B,ANYLOWER,1.0,2.0,N,10.0,X
B,ANYNAME,1.0,2.0,N,10.0,X
B,ANYPRINT,1.0,2.0,N,10.0,X
B,ANYPUNCT,1.0,2.0,N,10.0,X
B,ANYSPACE,1.0,2.0,N,10.0,X
B,ANYUPPER,1.0,2.0,N,10.0,X
B,ANYWORD,1.0,2.0,N,10.0,B
B,ANYXDIGIT,1.0,2.0,N,10.0,X
U,AOQ2,8.0,8.0,N,2396746.0,B
U,APPSRVGETC,1.0,1.0,C,2.0,B
U,APPSRVGETN,1.0,1.0,N,2.0,B
U,APPSRVSET,2.0,2.0,N,10.0,B
U,APPSRV_AUTHCLS,1.0,1.0,C,2.0,B
U,APPSRV_AUTHDS,1.0,1.0,N,2.0,B
U,APPSRV_AUTHLIB,0.0,5.0,N,9362.0,B
U,APPSRV_HEADER,2.0,2.0,C,18.0,B
U,APPSRV_SESSION,1.0,2.0,N,10.0,B
U,APPSRV_UNSAFE,1.0,1.0,C,2.0,B
B,ARCOS,1.0,1.0,N,1.0,X
U,ARCOSH,1.0,1.0,N,1.0,X
B,ARSIN,1.0,1.0,N,1.0,X
U,ARSINH,1.0,1.0,N,1.0,X
U,ARTANH,1.0,1.0,N,1.0,X
U,ASN2,7.0,7.0,N,299594.0,B
B,ATAN,1.0,1.0,N,1.0,X
B,ATAN2,2.0,2.0,N,9.0,X
U,ATI2,7.0,7.0,N,299593.0,B
U,ATTRC,2.0,2.0,C,17.0,B
U,ATTRN,2.0,2.0,N,17.0,B
B,BAND,2.0,2.0,N,9.0,X
U,BASECHAR,1.0,2.0,C,18.0,X
U,BAYESACT,7.0,0.0,B,299593.0,B
U,BEGINTRANSACTION,3.0,3.0,B,365.0,B
U,BETA,2.0,2.0,N,9.0,X
B,BETAINV,3.0,3.0,N,73.0,X
U,BIPFXML,1.0,1.0,C,2.0,B
U,BIPFXXL,2.0,2.0,C,18.0,B
U,BLACKCLPRC,5.0,5.0,N,4681.0,X
U,BLACKPTPRC,5.0,5.0,N,4681.0,X
U,BLKSHCLPRC,5.0,5.0,N,4681.0,X
U,BLKSHPTPRC,5.0,5.0,N,4681.0,X
B,BLSHIFT,2.0,2.0,N,9.0,X
B,BNOT,1.0,1.0,N,1.0,X
B,BOR,2.0,2.0,N,9.0,X
B,BRSHIFT,2.0,2.0,N,9.0,X
B,BXOR,2.0,2.0,N,9.0,X
B,BYTE,1.0,1.0,C,1.0,X
U,C4,1.0,1.0,N,1.0,B
U,CACHEADD,2.0,0.0,N,18.0,B
U,CACHEASSOCIATE,2.0,0.0,N,18.0,B
U,CACHEBEGIN,1.0,1.0,B,1.0,B
U,CACHEDESTROY,0.0,0.0,B,0.0,B
U,CACHEGETBOTH,4.0,4.0,B,1170.0,B
U,CACHEGETNAME,2.0,2.0,C,18.0,B
U,CACHEREPORT,0.0,0.0,B,0.0,B
U,CACHERESERVE,1.0,1.0,N,2.0,B
B,CAT,1.0,0.0,C,27.0,X
B,CATB,1.0,0.0,B,30.0,B
B,CATB,1.0,0.0,C,27.0,B
B,CATC,1.0,0.0,B,30.0,B
B,CATC,1.0,0.0,C,27.0,B
B,CATM,2.0,0.0,B,242.0,B
B,CATM,2.0,0.0,C,218.0,B
B,CATN,2.0,0.0,B,242.0,B
B,CATN,2.0,0.0,C,218.0,B
B,CATQ,2.0,0.0,B,242.0,B
B,CATQ,2.0,0.0,C,218.0,X
B,CATS,1.0,0.0,B,30.0,B
B,CATS,1.0,0.0,C,27.0,X
B,CATT,1.0,0.0,B,30.0,B
B,CATT,1.0,0.0,C,27.0,X
B,CATX,2.0,0.0,B,242.0,B
B,CATX,2.0,0.0,C,218.0,X
U,CDF,2.0,0.0,N,37450.0,X
B,CEIL,1.0,1.0,N,1.0,X
B,CEILZ,1.0,1.0,N,1.0,X
U,CEXIST,1.0,2.0,N,18.0,B
B,CHAR,2.0,2.0,C,10.0,B
U,CHOOSEC,2.0,0.0,C,306783377.0,X
U,CHOOSEN,2.0,0.0,N,153391689.0,X
B,CINV,2.0,3.0,N,73.0,B
U,CLIBEXIST,2.0,-1.0,N,18.0,B
U,CLIBFOUND,2.0,-1.0,N,18.0,B
U,CLOSE,1.0,1.0,N,1.0,B
U,CLOSEQUEUE,2.0,4.0,B,1197.0,B
B,CMISS,1.0,0.0,N,27.0,X
B,CMS,1.0,2.0,B,10.0,B
B,CMS,1.0,1.0,N,2.0,B
U,CNONCT,3.0,3.0,N,73.0,X
B,COALESCE,1.0,0.0,N,9.0,X
B,COALESCEC,1.0,0.0,C,18.0,X
U,COBOLINT,1.0,-1.0,B,460175066.0,B
B,COLLATE,1.0,3.0,C,73.0,X
B,COMB,2.0,2.0,N,9.0,X
U,COMMIT,2.0,2.0,B,45.0,B
U,COMPANION_NEXT,5.0,8.0,B,4805781.0,B
B,COMPARE,2.0,3.0,N,146.0,X
B,COMPBL,1.0,1.0,C,2.0,X
B,COMPCOST,1.0,0.0,B,27.0,X
B,COMPFUZZ,2.0,4.0,N,585.0,X
B,COMPGED,2.0,4.0,N,1746.0,X
B,COMPLEV,2.0,4.0,N,1746.0,X
B,COMPOUND,4.0,4.0,N,585.0,X
B,COMPRESS,1.0,3.0,C,146.0,X
U,CONSTANT,1.0,2.0,N,10.0,X
U,CONVERTBASE,1.0,3.0,C,74.0,B
U,CONVX,3.0,0.0,N,73.0,X
U,CONVXP,6.0,6.0,N,37449.0,X
B,COS,1.0,1.0,N,1.0,X
B,COSH,1.0,1.0,N,1.0,X
B,COT,1.0,1.0,N,1.0,X
B,COUNT,2.0,3.0,N,146.0,X
B,COUNTC,2.0,3.0,N,146.0,X
B,COUNTQ,1.0,2.0,N,18.0,X
B,COUNTW,1.0,3.0,N,146.0,X
U,CRCXX1,1.0,-1.0,N,3.0,B
U,CRCXX2,0.0,0.0,N,0.0,B
U,CRCXX3,2.0,-1.0,B,25.0,B
U,CRCXX4,1.0,1.0,N,1.0,B
B,CSC,1.0,1.0,N,1.0,X
B,CSS,1.0,0.0,N,9.0,X
U,CUMIPMT,5.0,6.0,N,37449.0,X
U,CUMPRINC,5.0,6.0,N,37449.0,X
U,CUROBS,1.0,1.0,N,1.0,B
U,CUSUMARL,4.0,5.0,N,4682.0,B
B,CV,2.0,0.0,N,73.0,X
U,D2,1.0,1.0,N,1.0,B
U,D3,1.0,1.0,N,1.0,B
B,DACCDB,4.0,4.0,N,585.0,B
B,DACCDBSL,4.0,4.0,N,585.0,B
B,DACCSL,3.0,3.0,N,73.0,B
B,DACCSYD,3.0,3.0,N,73.0,B
B,DACCTAB,3.0,0.0,N,585.0,B
U,DAIRY,1.0,1.0,N,1.0,X
U,DATDIF,3.0,3.0,N,137.0,X
B,DATE,0.0,0.0,N,0.0,X
B,DATEJUL,1.0,1.0,N,1.0,X
B,DATEPART,1.0,1.0,N,1.0,X
B,DATETIME,0.0,0.0,N,0.0,X
B,DAY,1.0,1.0,N,1.0,X
U,DCLOSE,1.0,1.0,N,1.0,B
U,DCREATE,1.0,2.0,C,18.0,B
B,DCSS,2.0,0.0,N,73.0,X
U,DEFINE,3.0,3.0,B,211.0,B
U,DELETEALIAS,4.0,4.0,B,2706.0,B
U,DELETEMAP,3.0,3.0,B,338.0,B
U,DELETEMODEL,4.0,4.0,B,2706.0,B
B,DEPDB,4.0,4.0,N,585.0,B
B,DEPDBSL,4.0,4.0,N,585.0,B
B,DEPSL,3.0,3.0,N,73.0,B
B,DEPSYD,3.0,3.0,N,73.0,B
B,DEPTAB,3.0,0.0,N,585.0,B
B,DEQUOTE,1.0,1.0,C,2.0,X
U,DEVIANCE,3.0,5.0,N,4682.0,X
B,DHMS,4.0,4.0,N,585.0,X
B,DIF,2.0,2.0,N,8.0,B
B,DIGAMMA,1.0,1.0,N,1.0,X
B,DIM,2.0,3.0,N,88.0,B
U,DINFO,2.0,2.0,C,17.0,B
B,DIVIDE,2.0,2.0,N,9.0,X
U,DLGCDIR,0.0,1.0,N,2.0,B
B,DMAX,2.0,0.0,N,73.0,X
B,DMEAN,2.0,0.0,N,73.0,X
U,DMGINPTS,0.0,1.0,N,2.0,B
B,DMIN,2.0,0.0,N,73.0,X
U,DMNORM,1.0,2.0,B,14.0,X
U,DMNORM,1.0,2.0,C,10.0,X
U,DMRAN,1.0,1.0,N,1.0,X
U,DMYTECHC,1.0,1.0,C,2.0,B
U,DMYTECKS,3.0,3.0,B,146.0,B
U,DMYTECNT,1.0,1.0,B,2.0,B
U,DMYTECWD,2.0,2.0,N,18.0,B
U,DMYTERVC,1.0,1.0,N,2.0,B
U,DNUM,1.0,1.0,N,1.0,B
U,DOPEN,1.0,1.0,N,2.0,B
U,DOPTNAME,2.0,2.0,C,9.0,B
U,DOPTNUM,1.0,1.0,N,1.0,B
U,DOSUB,1.0,1.0,N,2.0,B
U,DOSUBL,1.0,1.0,N,2.0,B
B,DRANGE,2.0,0.0,N,73.0,X
U,DREAD,2.0,2.0,C,9.0,B
U,DROPNOTE,2.0,2.0,N,9.0,B
U,DSNAME,1.0,1.0,C,1.0,B
B,DSTD,2.0,0.0,N,73.0,X
B,DSTDERR,2.0,0.0,N,73.0,X
B,DSUM,2.0,0.0,N,73.0,X
U,DTEXTDAY,1.0,1.0,N,1.0,B
U,DTEXTMONTH,1.0,1.0,N,1.0,B
U,DTEXTWEEKDAY,1.0,1.0,N,1.0,B
U,DTEXTYEAR,1.0,1.0,N,1.0,B
U,DUMMY_DEFCAT,2.0,0.0,B,81.0,B
U,DUMMY_DEFMISS,1.0,0.0,B,1.0,B
U,DUMMY_INIT,3.0,0.0,B,585.0,B
U,DUMMY_NOOP,2.0,2.0,N,17.0,B
U,DUMMY_SETCAT,2.0,2.0,N,17.0,B
U,DUMMY_SETMISS,1.0,1.0,B,1.0,B
U,DUR,3.0,0.0,N,73.0,X
U,DURP,6.0,6.0,N,37449.0,X
B,DUSS,2.0,0.0,N,73.0,X
B,DVAR,2.0,0.0,N,73.0,X
U,EFFRATE,2.0,2.0,N,10.0,X
U,ENCODCOMPAT,1.0,2.0,N,18.0,B
U,ENCODISVALID,1.0,1.0,N,2.0,B
U,ENTRY_FIRST,7.0,9.0,B,106393001.0,B
U,ENTRY_NEXT,7.0,9.0,B,106393001.0,B
U,ENVLEN,1.0,1.0,N,2.0,B
U,EPINV,3.0,3.0,N,73.0,B
B,ERF,1.0,1.0,N,1.0,X
B,ERFC,1.0,1.0,N,1.0,X
B,EUCLID,1.0,0.0,N,9.0,B
U,EUROCURR,3.0,3.0,N,145.0,B
U,EVENT_BEGIN,3.0,0.0,B,1365.0,B
U,EVENT_BODY,3.0,3.0,B,337.0,B
U,EVENT_END,2.0,2.0,B,41.0,B
U,EVENT_PUBLISH,5.0,0.0,B,9553.0,B
U,EWMAARL,3.0,3.0,N,73.0,B
B,EXECUTE,1.0,1.0,B,2.0,B
U,EXIST,0.0,3.0,N,82.0,B
B,EXP,1.0,1.0,N,1.0,X
B,FACT,1.0,1.0,N,1.0,X
U,FAPPEND,1.0,2.0,N,17.0,B
U,FCLOSE,1.0,1.0,N,1.0,B
U,FCOL,1.0,1.0,N,1.0,B
U,FCOPY,2.0,2.0,N,18.0,B
U,FDELETE,1.0,1.0,N,2.0,B
U,FETCH,1.0,2.0,N,17.0,B
U,FETCHOBS,2.0,3.0,N,137.0,B
U,FEXIST,1.0,1.0,N,2.0,B
U,FGET,2.0,3.0,N,81.0,B
U,FILEEXIST,1.0,1.0,N,2.0,B
U,FILENAME,1.0,5.0,N,9362.0,B
U,FILEREF,1.0,1.0,N,2.0,B
U,FILEREF_META_GET,3.0,3.0,B,402.0,B
U,FILEREF_META_SET,3.0,3.0,N,146.0,B
U,FINANCE,2.0,0.0,N,202.0,X
B,FIND,2.0,4.0,N,1746.0,X
B,FINDC,2.0,4.0,N,1746.0,X
B,FINDLEV,3.0,5.0,N,13906.0,B
B,FINDW,2.0,5.0,N,14034.0,X
U,FINFO,2.0,2.0,C,17.0,B
B,FINV,3.0,4.0,N,585.0,B
B,FIPNAME,1.0,1.0,C,1.0,B
B,FIPNAMEL,1.0,1.0,C,1.0,B
B,FIPSTATE,1.0,1.0,C,1.0,B
B,FIRST,1.0,1.0,C,2.0,B
B,FLOOR,1.0,1.0,N,1.0,X
B,FLOORZ,1.0,1.0,N,1.0,X
U,FMTDEL,0.0,0.0,B,0.0,B
U,FMTINFO,2.0,2.0,C,18.0,X
U,FNONCT,4.0,4.0,N,585.0,X
B,FNONMISS,2.0,0.0,N,73.0,B
U,FNOTE,1.0,1.0,N,1.0,B
U,FOPEN,1.0,4.0,N,1106.0,B
U,FOPTNAME,2.0,2.0,C,9.0,B
U,FOPTNUM,1.0,1.0,N,1.0,B
U,FPOINT,2.0,2.0,N,9.0,B
U,FPOS,2.0,2.0,N,9.0,B
U,FPUT,2.0,2.0,N,17.0,B
U,FREAD,1.0,1.0,N,1.0,B
U,FREETRANSACTION,2.0,2.0,B,45.0,B
U,FREWIND,1.0,1.0,N,1.0,B
U,FRLEN,1.0,1.0,N,1.0,B
U,FSEP,2.0,3.0,N,145.0,B
B,FUZZ,1.0,1.0,N,1.0,X
U,FWRITE,1.0,2.0,N,17.0,B
B,GAMINV,2.0,2.0,N,9.0,X
B,GAMMA,1.0,1.0,N,1.0,X
U,GARKHCLPRC,6.0,6.0,N,37449.0,X
U,GARKHPTPRC,6.0,6.0,N,37449.0,X
U,GASK,2.0,0.0,B,26.0,B
B,GCD,2.0,0.0,N,73.0,X
U,GDRAW,2.0,0.0,N,26.0,B
U,GEODIST,4.0,5.0,N,8777.0,X
B,GEOMEAN,1.0,0.0,N,9.0,X
B,GEOMEANZ,1.0,0.0,N,9.0,X
U,GETALIAS,5.0,6.0,B,223890.0,B
U,GETATTACHMENT,7.0,10.0,B,769092969.0,B
U,GETCASURL,0.0,1.0,C,2.0,B
U,GETLCASLIB,1.0,1.0,C,2.0,B
U,GETLOCALE,0.0,2.0,C,18.0,B
U,GETLOCCLASS,1.0,1.0,C,3.0,B
U,GETLOCENC,0.0,1.0,C,2.0,B
U,GETLOCENV,0.0,0.0,C,2.0,B
U,GETLOCID,1.0,1.0,N,2.0,B
U,GETLOCNAME,1.0,1.0,C,1.0,B
U,GETLOCNUM,1.0,1.0,N,2.0,B
U,GETLSESSREF,1.0,1.0,C,2.0,B
U,GETLTAG,1.0,1.0,C,2.0,B
U,GETMAP,4.0,4.0,B,3410.0,B
U,GETMODEL,6.0,0.0,B,1073719954.0,B
U,GETOPTION,1.0,-1.0,C,18.0,B
U,GETPXENCC,1.0,3.0,C,146.0,B
U,GETPXENCN,1.0,3.0,N,146.0,B
U,GETPXENCODING,1.0,1.0,C,2.0,B
U,GETPXLANGUAGE,0.0,0.0,C,0.0,B
U,GETPXLOCALE,0.0,1.0,C,2.0,B
U,GETPXREGION,0.0,0.0,C,0.0,B
U,GETQUEUEPROPS,9.0,10.0,B,920050605.0,B
U,GETSESSOPT,2.0,2.0,C,18.0,B
U,GETVARC,2.0,2.0,C,9.0,B
U,GETVARN,2.0,2.0,N,9.0,B
U,GINIT,0.0,0.0,N,0.0,B
U,GITFN_CLONE,2.0,7.0,N,599186.0,B
U,GITFN_COMMIT,5.0,6.0,N,74898.0,B
U,GITFN_COMMITFREE,1.0,1.0,N,2.0,B
U,GITFN_COMMIT_GET,4.0,4.0,N,3217.0,B
U,GITFN_COMMIT_LOG,1.0,1.0,N,2.0,B
U,GITFN_CO_BRANCH,2.0,2.0,N,18.0,B
U,GITFN_DEL_BRANCH,2.0,3.0,N,82.0,B
U,GITFN_DEL_REPO,1.0,1.0,N,2.0,B
U,GITFN_DIFF,3.0,3.0,N,146.0,B
U,GITFN_DIFF_FREE,3.0,3.0,N,146.0,B
U,GITFN_DIFF_GET,6.0,6.0,N,205969.0,B
U,GITFN_DIFF_IDX_F,3.0,5.0,N,9106.0,B
U,GITFN_IDX_ADD,2.0,-1.0,N,306783378.0,B
U,GITFN_IDX_REMOVE,2.0,-1.0,N,306783378.0,B
U,GITFN_MRG_BRANCH,4.0,4.0,N,1170.0,B
U,GITFN_NEW_BRANCH,4.0,4.0,N,658.0,B
U,GITFN_PULL,1.0,6.0,N,74898.0,B
U,GITFN_PUSH,1.0,6.0,N,74898.0,B
U,GITFN_RESET,3.0,3.0,N,146.0,B
U,GITFN_RESET_FILE,2.0,2.0,N,18.0,B
U,GITFN_STATUS,1.0,1.0,N,2.0,B
U,GITFN_STATUSFREE,1.0,1.0,N,2.0,B
U,GITFN_STATUS_GET,4.0,4.0,N,3217.0,B
U,GITFN_VERSION,0.0,0.0,N,0.0,B
U,GIT_BRANCH_CHKOUT,2.0,2.0,N,18.0,B
U,GIT_BRANCH_DELETE,2.0,3.0,N,82.0,B
U,GIT_BRANCH_MERGE,4.0,5.0,N,5266.0,B
U,GIT_BRANCH_NEW,4.0,4.0,N,658.0,B
U,GIT_CLONE,2.0,7.0,N,599186.0,B
U,GIT_COMMIT,5.0,6.0,N,74898.0,B
U,GIT_COMMIT_FREE,1.0,1.0,N,2.0,B
U,GIT_COMMIT_GET,4.0,4.0,N,3217.0,B
U,GIT_COMMIT_LOG,1.0,1.0,N,2.0,B
U,GIT_DELETE_REPO,1.0,1.0,N,2.0,B
U,GIT_DIFF,3.0,3.0,N,146.0,B
U,GIT_DIFF_FILE_IDX,3.0,5.0,N,9106.0,B
U,GIT_DIFF_FREE,3.0,3.0,N,146.0,B
U,GIT_DIFF_GET,6.0,6.0,N,205969.0,B
U,GIT_DIFF_TO_FILE,5.0,5.0,N,9361.0,B
U,GIT_FETCH,1.0,7.0,N,599186.0,B
U,GIT_INDEX_ADD,2.0,-1.0,N,306783378.0,B
U,GIT_INDEX_REMOVE,2.0,-1.0,N,306783378.0,B
U,GIT_INIT_REPO,1.0,2.0,N,18.0,B
U,GIT_PULL,1.0,6.0,N,74898.0,B
U,GIT_PUSH,1.0,6.0,N,74898.0,B
U,GIT_REBASE,5.0,5.0,N,9362.0,B
U,GIT_REBASE_OP,5.0,5.0,N,9362.0,B
U,GIT_RESET,3.0,3.0,N,146.0,B
U,GIT_RESET_FILE,2.0,2.0,N,18.0,B
U,GIT_SET_URL,2.0,2.0,N,18.0,B
U,GIT_STASH,3.0,3.0,N,146.0,B
U,GIT_STASH_APPLY,1.0,2.0,N,10.0,B
U,GIT_STASH_DROP,1.0,2.0,N,10.0,B
U,GIT_STASH_POP,1.0,1.0,N,2.0,B
U,GIT_STATUS,1.0,1.0,N,2.0,B
U,GIT_STATUS_FREE,1.0,1.0,N,2.0,B
U,GIT_STATUS_GET,4.0,4.0,N,3217.0,B
U,GIT_VERSION,0.0,0.0,N,0.0,B
U,GMTOFF,0.0,0.0,N,0.0,X
U,GPRINT,1.0,0.0,N,1.0,B
U,GRAPH,1.0,4.0,N,1170.0,B
U,GRAYCODE,2.0,53.0,B,766957177.0,B
U,GRAYCODE,2.0,53.0,N,766957177.0,B
U,GRDSVC_ENABLE,1.0,2.0,N,18.0,B
U,GRDSVC_GETADDR,1.0,1.0,C,2.0,B
U,GRDSVC_GETHOSTS,1.0,1.0,N,2.0,B
